Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
31.0,Mo Williams,26.0,CLE,PG,81.0,81.0,2834.0,0.467,17.1,0.627,0.12,0.106,0.116,0.285,0.373,0.486,0.57,0.479,0.466,0.461,0.436,0.286,0.803,0.0,0.0,0.39,0.451,1.0,0.0,AS
32.0,David Lee,25.0,NYK,C,81.0,74.0,2824.0,0.549,4.7,0.997,0.636,0.121,0.123,0.117,0.003,0.551,0.636,0.504,0.316,0.378,0.0,0.665,,0.114,103.0,0.0,,0.0,0.0,
33.0,Dwight Howard,23.0,ORL,C,79.0,79.0,2821.0,0.572,3.4,0.998,0.546,0.398,0.045,0.008,0.002,0.573,0.707,0.433,0.25,0.25,0.0,0.513,,0.217,202.0,0.0,,0.0,0.0,"MVP-4,DPOY-1,AS,NBA1,DEF1"
34.0,Hedo TÃ¼rkoÄlu,29.0,ORL,SF,77.0,77.0,2815.0,0.413,15.1,0.633,0.26,0.075,0.129,0.17,0.367,0.445,0.538,0.299,0.47,0.351,0.356,0.218,0.799,0.006,5.0,0.106,0.325,5.0,0.0,DPOY-16
35.0,Chauncey Billups,32.0,2TM,PG,79.0,79.0,2789.0,0.418,17.7,0.595,0.18,0.069,0.113,0.233,0.405,0.425,0.517,0.309,0.36,0.421,0.408,0.157,0.537,0.001,1.0,0.091,0.417,1.0,0.0,"MVP-6,AS,NBA3"
35.0,Chauncey Billups,32.0,DET,PG,2.0,2.0,70.0,0.333,18.5,0.667,0.095,0.0,0.143,0.429,0.333,0.357,0.0,,0.333,0.444,0.286,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,
35.0,Chauncey Billups,32.0,DEN,PG,77.0,77.0,2719.0,0.42,16.8,0.593,0.181,0.071,0.113,0.228,0.407,0.427,0.523,0.309,0.361,0.42,0.41,0.16,0.544,0.001,1.0,0.09,0.429,1.0,0.0,
36.0,Boris Diaw,26.0,2TM,PF,81.0,59.0,2754.0,0.507,9.8,0.795,0.374,0.208,0.051,0.162,0.205,0.531,0.616,0.484,0.444,0.42,0.414,0.566,0.987,0.017,14.0,0.105,0.474,1.0,0.0,
36.0,Boris Diaw,26.0,PHO,PF,22.0,0.0,538.0,0.567,9.0,0.901,0.39,0.27,0.05,0.191,0.099,0.591,0.727,0.553,0.429,0.407,0.357,0.467,1.0,0.028,4.0,0.071,0.0,1.0,0.0,
36.0,Boris Diaw,26.0,CHA,PF,59.0,59.0,2216.0,0.495,10.7,0.775,0.371,0.197,0.051,0.156,0.225,0.517,0.594,0.466,0.447,0.422,0.419,0.591,0.986,0.015,10.0,0.108,0.5,0.0,0.0,
37.0,Mike Bibby,30.0,ATL,PG,79.0,79.0,2740.0,0.435,19.9,0.574,0.075,0.055,0.038,0.407,0.426,0.468,0.707,0.455,0.474,0.425,0.39,0.419,0.958,0.0,0.0,0.157,0.403,0.0,0.0,
38.0,Wilson Chandler,21.0,NYK,SF,82.0,70.0,2735.0,0.432,14.0,0.702,0.255,0.124,0.105,0.217,0.298,0.476,0.595,0.443,0.405,0.389,0.328,0.452,0.951,0.042,40.0,0.325,0.392,4.0,0.0,
39.0,Jarrett Jack,25.0,IND,SG,82.0,53.0,2716.0,0.453,13.6,0.741,0.253,0.141,0.104,0.243,0.259,0.487,0.537,0.442,0.506,0.454,0.353,0.289,0.923,0.002,2.0,0.326,0.347,1.0,0.0,
40.0,Emeka Okafor,26.0,CHA,C,82.0,81.0,2691.0,0.561,3.8,1.0,0.605,0.238,0.13,0.027,0.0,0.561,0.685,0.375,0.38,0.286,,0.737,,0.192,135.0,,,0.0,0.0,
41.0,Eric Gordon,20.0,LAC,SG,78.0,65.0,2677.0,0.456,14.5,0.626,0.332,0.059,0.05,0.185,0.374,0.496,0.589,0.34,0.267,0.443,0.389,0.525,0.893,0.037,30.0,0.136,0.522,4.0,0.0,ROY-5
42.0,Gerald Wallace,26.0,CHA,SF,71.0,71.0,2669.0,0.48,6.4,0.838,0.665,0.064,0.014,0.096,0.162,0.515,0.557,0.404,0.273,0.333,0.298,0.491,0.974,0.075,59.0,0.634,0.289,0.0,0.0,
43.0,Russell Westbrook,20.0,OKC,PG,82.0,65.0,2668.0,0.398,9.5,0.882,0.422,0.116,0.149,0.195,0.118,0.415,0.476,0.323,0.362,0.379,0.271,0.252,0.514,0.064,59.0,0.109,0.357,3.0,0.0,ROY-4
44.0,Al Thornton,25.0,LAC,SF,71.0,67.0,2654.0,0.446,10.8,0.925,0.352,0.111,0.14,0.322,0.075,0.462,0.611,0.41,0.333,0.373,0.253,0.572,0.9,0.076,74.0,0.089,0.0,4.0,0.0,
45.0,Rajon Rondo,22.0,BOS,PG,80.0,80.0,2642.0,0.505,7.0,0.937,0.557,0.141,0.084,0.154,0.063,0.518,0.624,0.271,0.375,0.436,0.313,0.313,0.4,0.02,14.0,0.229,0.182,0.0,0.0,"DPOY-10,DEF2"
46.0,Anthony Parker,33.0,TOR,SG,80.0,71.0,2637.0,0.426,16.6,0.68,0.162,0.033,0.111,0.374,0.32,0.442,0.582,0.4,0.369,0.408,0.39,0.502,0.926,0.021,14.0,0.564,0.456,1.0,0.0,
47.0,Mario Chalmers,22.0,MIA,PG,82.0,82.0,2626.0,0.42,16.1,0.53,0.254,0.101,0.044,0.131,0.47,0.467,0.482,0.448,0.414,0.471,0.367,0.201,0.895,0.02,10.0,0.151,0.362,8.0,0.0,ROY-11
48.0,Rasual Butler,29.0,NOH,SF,82.0,74.0,2614.0,0.433,17.5,0.553,0.143,0.064,0.101,0.245,0.447,0.468,0.67,0.392,0.383,0.406,0.39,0.678,0.929,0.037,29.0,0.443,0.459,2.0,0.0,
49.0,Ryan Gomes,26.0,MIN,SF,82.0,76.0,2614.0,0.431,15.0,0.707,0.208,0.084,0.137,0.278,0.293,0.456,0.611,0.232,0.368,0.45,0.372,0.618,0.991,0.007,7.0,0.396,0.398,6.0,0.0,
50.0,Ronnie Brewer,23.0,UTA,SF,81.0,80.0,2605.0,0.508,9.5,0.897,0.517,0.037,0.047,0.296,0.103,0.537,0.645,0.355,0.333,0.404,0.259,0.727,1.0,0.171,128.0,0.035,0.0,4.0,0.0,
51.0,Yao Ming,28.0,HOU,C,77.0,77.0,2589.0,0.548,6.4,0.999,0.332,0.4,0.223,0.044,0.001,0.548,0.644,0.53,0.47,0.378,1.0,0.579,1.0,0.084,76.0,0.0,,0.0,0.0,"MVP-12,AS,NBA2"
52.0,Caron Butler,28.0,WAS,SG,67.0,67.0,2585.0,0.453,13.5,0.806,0.282,0.1,0.116,0.308,0.194,0.487,0.641,0.422,0.397,0.401,0.31,0.408,0.431,0.027,29.0,0.176,0.297,5.0,0.0,
53.0,Thaddeus Young,20.0,PHI,PF,75.0,71.0,2580.0,0.495,9.7,0.829,0.395,0.196,0.095,0.144,0.171,0.526,0.636,0.441,0.341,0.464,0.341,0.597,0.929,0.074,69.0,0.305,0.38,0.0,0.0,
54.0,Udonis Haslem,28.0,MIA,PF,75.0,75.0,2560.0,0.518,10.8,1.0,0.288,0.093,0.236,0.383,0.0,0.518,0.724,0.4,0.441,0.439,,0.838,,0.058,33.0,,,0.0,0.0,
55.0,Al Harrington,28.0,2TM,PF,73.0,56.0,2546.0,0.439,14.4,0.612,0.314,0.077,0.087,0.134,0.388,0.487,0.583,0.376,0.371,0.399,0.364,0.313,0.906,0.023,27.0,0.196,0.37,1.0,0.0,
55.0,Al Harrington,28.0,GSW,PF,5.0,5.0,166.0,0.329,14.9,0.6,0.257,0.114,0.057,0.171,0.4,0.286,0.444,0.25,0.0,0.167,0.393,0.5,0.909,0.014,1.0,0.143,0.25,0.0,0.0,
55.0,Al Harrington,28.0,NYK,PF,68.0,51.0,2380.0,0.446,13.9,0.613,0.318,0.074,0.088,0.132,0.387,0.499,0.59,0.388,0.386,0.417,0.362,0.307,0.906,0.024,26.0,0.199,0.375,1.0,0.0,
56.0,Tim Duncan,32.0,SAS,C,75.0,75.0,2524.0,0.504,8.0,0.998,0.313,0.333,0.182,0.17,0.002,0.505,0.637,0.463,0.418,0.436,0.0,0.525,,0.025,26.0,0.0,,0.0,0.0,"MVP-11,DPOY-11,AS,NBA2,DEF2"
57.0,Marc Gasol,24.0,MEM,C,82.0,75.0,2521.0,0.53,5.8,0.998,0.436,0.371,0.088,0.104,0.002,0.53,0.667,0.433,0.362,0.449,0.0,0.497,,0.067,39.0,0.0,,0.0,0.0,ROY-8
58.0,Rodney Stuckey,22.0,DET,PG,79.0,65.0,2517.0,0.439,10.3,0.915,0.419,0.081,0.134,0.28,0.085,0.453,0.496,0.514,0.385,0.402,0.295,0.27,0.783,0.005,5.0,0.103,0.0,6.0,0.0,
59.0,NenÃª,26.0,DEN,C,77.0,76.0,2510.0,0.604,5.0,0.993,0.646,0.099,0.08,0.168,0.007,0.607,0.692,0.457,0.421,0.454,0.2,0.752,1.0,0.212,143.0,0.0,,0.0,0.0,
60.0,Mike Conley,21.0,MEM,PG,82.0,61.0,2508.0,0.442,13.3,0.703,0.318,0.097,0.073,0.215,0.297,0.458,0.522,0.338,0.358,0.452,0.406,0.149,0.955,0.007,5.0,0.272,0.39,2.0,0.0,
61.0,Deron Williams,24.0,UTA,PG,68.0,68.0,2505.0,0.471,12.5,0.77,0.34,0.097,0.073,0.26,0.23,0.518,0.6,0.379,0.514,0.465,0.31,0.221,0.486,0.008,7.0,0.035,0.125,1.0,0.0,
62.0,Brook Lopez,20.0,NJN,C,82.0,75.0,2501.0,0.531,5.7,0.998,0.52,0.238,0.118,0.121,0.002,0.532,0.661,0.393,0.35,0.431,0.0,0.645,,0.164,130.0,0.0,,0.0,0.0,ROY-3
63.0,Roger Mason,28.0,SAS,SG,82.0,71.0,2496.0,0.425,19.7,0.521,0.096,0.028,0.046,0.35,0.479,0.428,0.468,0.348,0.526,0.41,0.421,0.53,0.759,0.001,1.0,0.279,0.418,0.0,0.0,
64.0,Randy Foye,25.0,MIN,SG,70.0,61.0,2494.0,0.407,14.0,0.686,0.276,0.123,0.078,0.208,0.314,0.428,0.491,0.364,0.377,0.402,0.36,0.233,0.766,0.016,15.0,0.185,0.404,2.0,0.0,
65.0,Devin Harris,25.0,NJN,PG,69.0,69.0,2494.0,0.438,11.7,0.788,0.387,0.068,0.121,0.212,0.212,0.477,0.547,0.549,0.389,0.377,0.291,0.192,0.5,0.002,1.0,0.055,0.5,3.0,0.0,AS
66.0,Jason Terry,31.0,DAL,SG,74.0,11.0,2491.0,0.463,16.7,0.61,0.161,0.072,0.119,0.258,0.39,0.525,0.622,0.5,0.475,0.495,0.366,0.457,0.796,0.008,9.0,0.265,0.446,1.0,0.0,6MOY-1
67.0,Luis Scola,28.0,HOU,PF,82.0,82.0,2488.0,0.531,7.6,0.996,0.453,0.175,0.126,0.242,0.004,0.533,0.608,0.507,0.455,0.451,0.0,0.705,,0.01,7.0,0.0,,2.0,0.0,
