Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Unnamed: 19_level_0,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,PGA,And1,Blkd,Awards
84,Chucky Atkins,26,DET,PG,81,75,2363,100,0,0,0,0,-1.9,-0.3,94,39,44,8,36,711,8,29,
85,Tyrone Hill,32,PHI,PF,76,75,2363,0,0,0,86,14,4.2,-1.4,31,40,90,32,115,106,23,48,
86,Metta World Peace,21,CHI,SF,76,74,2363,0,2,89,10,0,-8.0,5.7,46,47,94,27,108,483,21,66,
87,Mookie Blaylock,33,GSW,PG,69,59,2352,100,0,0,0,0,-7.4,5.7,90,24,70,3,31,967,7,21,
88,Elden Campbell,32,CHH,PF,78,78,2337,0,0,0,76,24,3.5,2.5,29,48,122,45,180,241,18,61,
89,Aaron Williams,29,NJN,PF,82,25,2336,0,0,6,68,26,-8.6,-7.0,43,45,179,23,131,195,28,70,
90,Voshon Lenard,27,DEN,SG,80,58,2331,2,98,0,0,0,-2.3,0.1,53,21,77,16,64,404,12,62,
91,Donyell Marshall,27,UTA,SF,81,49,2326,0,0,81,19,0,7.5,6.2,55,34,84,19,123,285,29,97,6MOY-9
92,Rick Fox,31,LAL,SF,82,77,2291,0,2,95,3,0,6.5,6.5,86,29,106,13,45,556,12,42,
93,Jason Williams,25,SAC,PG,77,77,2290,95,5,0,0,0,5.2,-2.4,104,36,39,10,22,907,5,18,
94,Tony Delk,27,PHO,SG,82,11,2288,7,83,10,0,0,2.1,-0.7,50,33,61,10,83,342,18,62,6MOY-10
95,Eddie Jones,29,MIA,SG,63,58,2282,0,92,8,0,0,3.0,1.2,61,35,67,19,89,382,16,44,
96,Kenyon Martin,23,NJN,PF,68,68,2272,0,0,1,42,57,-6.5,-1.9,52,34,119,24,89,291,14,36,ROY-2
97,James Posey,24,DEN,SF,82,82,2255,0,0,92,8,0,0.9,7.4,41,21,79,19,57,372,17,44,
98,Fred Hoiberg,28,CHI,SG,74,37,2247,9,79,12,0,0,-9.6,1.7,50,16,80,6,61,554,7,17,
99,Lamond Murray,27,CLE,SF,78,46,2225,0,0,86,13,0,-5.0,-0.5,58,33,71,34,100,259,18,53,
100,Glen Rice,33,NYK,SF,75,25,2212,0,1,80,19,0,5.1,4.4,40,27,70,20,62,203,10,36,
101,Rodney Rogers,29,PHO,SF,82,3,2183,0,1,37,60,3,1.6,-1.6,59,47,124,34,103,386,22,59,6MOY-6
102,Dale Davis,31,POR,C,81,43,2162,0,0,0,12,88,4.6,0.1,17,25,105,11,71,229,20,39,
103,Eric Piatkowski,30,LAC,SG,81,40,2144,0,81,18,0,0,-2.5,1.8,43,14,47,9,52,207,9,30,
104,Darius Miles,19,LAC,SF,81,21,2133,0,3,61,36,1,1.5,10.4,44,48,112,14,97,213,17,47,ROY-4
105,Scottie Pippen,35,POR,SF,64,60,2133,0,2,92,7,0,5.7,2.5,88,38,69,18,61,629,13,29,
106,Vin Baker,29,SEA,PF,76,27,2129,0,0,0,53,47,-1.2,-2.5,32,43,95,58,141,221,25,85,
107,Michael Olowokandi,25,LAC,C,82,82,2127,0,0,0,0,100,-6.6,-6.8,33,38,115,42,65,106,6,57,
108,Marcus Camby,26,NYK,C,63,63,2127,0,0,0,3,98,2.4,-1.6,19,14,96,12,111,110,29,34,
109,Anthony Peeler,31,MIN,SG,75,41,2126,0,95,5,0,0,1.6,0.1,67,23,52,8,31,401,6,33,
110,Kurt Thomas,28,NYK,PF,77,29,2125,0,0,0,60,40,7.5,9.3,20,26,125,29,94,141,16,44,
111,John Starks,35,UTA,SG,75,64,2122,0,99,1,0,0,4.1,-1.9,50,22,63,15,23,372,2,32,
112,Patrick Ewing,38,SEA,C,79,79,2107,0,0,0,0,100,-4.0,-8.4,58,57,97,21,120,210,23,72,
113,Larry Johnson,31,NYK,PF,65,65,2105,0,0,2,93,5,-0.6,-7.9,38,27,100,17,56,289,16,44,
114,Tim Thomas,23,MIL,PF,76,16,2086,0,0,13,68,19,6.4,4.8,36,40,90,24,100,321,18,43,6MOY-2
115,Lucious Harris,30,NJN,SG,73,50,2071,2,96,3,0,0,-5.2,1.0,38,20,59,5,58,296,12,35,
116,Antonio Daniels,25,SAS,PG,79,23,2060,36,60,4,0,0,5.6,-7.0,69,24,44,6,55,672,11,25,
117,Ruben Patterson,25,SEA,SF,76,22,2059,0,17,79,4,0,3.3,7.0,50,55,59,19,167,370,44,91,6MOY-6
118,Johnny Newman,37,NJN,SG,82,17,2049,0,35,62,3,0,-8.6,-6.0,27,29,67,29,119,253,23,68,
119,George McCloud,33,DEN,SF,76,8,2007,1,39,61,0,0,-5.3,-6.0,69,28,72,10,65,603,10,44,
120,Lindsey Hunter,30,MIL,PG,82,5,2002,100,0,0,0,0,4.7,1.0,36,23,63,6,35,494,6,20,
121,Shawn Bradley,28,DAL,C,82,35,2001,0,0,0,0,100,10.5,11.8,39,17,137,14,80,84,16,34,
122,Bonzi Wells,24,POR,SF,75,46,1995,0,37,61,2,0,4.9,0.7,77,35,76,28,97,440,23,54,
123,Lorenzen Wright,25,ATL,C,71,46,1988,0,0,0,45,55,-7.9,-4.2,34,39,108,35,96,195,20,58,
124,Ervin Johnson,33,MIL,C,82,19,1981,0,0,0,0,100,5.5,2.6,16,5,149,12,39,98,4,21,
125,Maurice Taylor,24,HOU,SF,69,69,1972,0,0,6,92,2,-3.0,-11.0,45,23,112,30,72,228,18,45,
126,LaPhonso Ellis,30,MIN,PF,82,5,1948,0,0,5,85,10,0.6,-2.0,29,28,137,27,93,199,23,33,6MOY-3
127,Joe Smith,25,DET,PF,69,59,1941,0,0,1,90,9,-0.8,2.1,23,30,133,16,123,177,21,47,
128,Vitaly Potapenko,25,BOS,C,82,7,1901,0,0,0,1,99,-2.4,0.1,32,30,89,9,65,152,14,39,
129,Al Harrington,20,IND,PF,78,38,1892,0,1,70,28,1,0.1,0.3,53,31,74,39,65,287,11,48,
130,Austin Croshere,25,IND,PF,81,23,1874,0,0,13,71,16,0.0,0.2,48,28,84,42,98,201,14,63,6MOY-10
131,Chris Childs,33,2TM,PG,77,5,1859,99,1,0,0,0,1.4,-2.3,106,19,87,21,16,785,4,16,
131,Chris Childs,33,NYK,PG,51,5,1309,99,1,0,0,0,1.1,-3.1,63,11,52,15,11,524,1,10,
131,Chris Childs,33,TOR,PG,26,0,550,100,0,0,0,0,2.3,-0.3,43,8,35,6,5,261,3,6,
132,Larry Hughes,22,GSW,SG,50,45,1846,15,75,10,0,0,-6.7,5.5,65,53,73,10,106,478,14,63,
133,Brian Shaw,34,LAL,SG,80,28,1833,41,59,1,0,0,1.7,-3.8,76,14,68,3,14,564,0,19,
134,Bryant Reeves,27,VAN,C,75,48,1832,0,0,0,0,100,-5.4,1.2,38,22,108,21,65,174,19,34,
135,Kevin Willis,38,2TM,C,78,22,1830,0,0,0,0,100,-7.0,-8.7,20,32,78,21,67,113,17,43,
135,Kevin Willis,38,TOR,C,35,9,771,0,0,0,0,100,-5.8,-10.4,11,14,23,10,40,44,10,21,
135,Kevin Willis,38,DEN,C,43,13,1059,0,0,0,1,99,-7.8,-7.4,9,18,55,11,27,69,7,22,
136,Kenny Thomas,23,HOU,PF,74,21,1820,0,0,10,56,34,4.3,3.3,51,28,86,19,59,179,18,47,
137,Othella Harrington,27,2TM,C,74,45,1815,0,0,2,57,42,-1.0,2.7,30,47,94,32,85,122,23,52,
137,Othella Harrington,27,VAN,C,44,40,1267,0,0,0,69,31,-5.6,0.7,22,34,45,23,59,76,14,43,
137,Othella Harrington,27,NYK,C,30,5,548,0,0,5,27,68,9.6,7.5,8,13,49,9,26,46,9,9,
138,Alan Henderson,28,ATL,PF,73,42,1810,0,0,0,79,21,-7.9,-3.7,36,50,75,19,124,114,25,82,
139,Morris Peterson,23,TOR,SG,80,49,1809,0,75,25,0,0,3.2,1.1,35,18,71,13,64,225,16,47,ROY-4
140,Theo Ratliff,27,PHI,C,50,50,1800,0,0,0,12,89,6.0,2.2,24,35,60,34,78,133,11,31,"DPOY-7,AS"
141,Chauncey Billups,24,MIN,SG,77,33,1790,31,67,2,0,0,1.3,-0.6,51,31,68,14,65,540,13,48,
142,Brent Barry,29,SEA,SG,67,20,1778,1,90,9,0,0,2.2,4.1,58,18,63,6,39,489,8,13,
143,Eric Williams,28,BOS,SF,81,11,1745,0,3,86,11,0,0.1,4.6,35,16,78,17,86,263,15,33,
144,Eric Snow,27,PHI,PG,50,50,1740,100,0,0,0,0,5.9,2.1,82,22,48,6,47,789,13,31,
145,Keith Van Horn,25,NJN,SF,49,47,1733,0,0,40,60,0,-3.0,4.8,26,39,78,17,80,185,16,65,
146,Keon Clark,25,2TM,PF,81,3,1720,0,0,0,40,60,1.0,0.7,23,32,145,16,115,158,28,60,
146,Keon Clark,25,DEN,PF,35,3,752,0,0,0,31,69,-1.2,1.5,13,14,58,13,48,74,5,33,
146,Keon Clark,25,TOR,PF,46,0,968,0,0,0,48,52,2.6,0.1,10,18,87,3,67,84,23,27,
147,John Amaechi,30,ORL,C,82,36,1710,0,0,0,25,76,-5.8,-11.9,52,40,109,18,121,171,25,65,
148,Hubert Davis,30,2TM,PG,66,18,1692,65,35,0,0,0,-0.2,-2.5,35,21,34,14,20,232,4,20,
148,Hubert Davis,30,DAL,PG,51,7,1261,56,44,0,0,0,2.4,-3.1,24,14,26,9,13,132,3,13,
148,Hubert Davis,30,WAS,PG,15,11,431,92,8,0,0,0,-7.9,-0.8,11,7,8,5,7,100,1,7,
149,Jim Jackson,30,2TM,SF,56,40,1690,0,63,36,1,0,-8.6,-4.4,71,27,70,12,52,347,4,40,
149,Jim Jackson,30,ATL,SF,17,14,550,0,57,43,0,0,-12.1,-7.3,26,8,18,5,24,109,1,19,
149,Jim Jackson,30,CLE,SF,39,26,1140,0,66,32,1,0,-7.0,-3.1,45,19,52,7,28,238,3,21,
150,Danny Ferry,34,SAS,SF,80,29,1688,0,0,85,15,0,12.7,6.7,34,3,77,7,4,157,0,8,
151,Corliss Williamson,27,2TM,SF,69,40,1686,0,1,83,16,0,3.1,3.2,40,37,67,22,114,132,27,65,
151,Corliss Williamson,27,TOR,SF,42,31,886,0,0,85,15,0,1.2,-1.8,17,23,33,15,66,71,10,39,
151,Corliss Williamson,27,DET,SF,27,9,800,0,3,80,17,0,5.1,8.7,23,14,34,7,48,61,17,26,
152,Bob Sura,27,GSW,SG,53,42,1684,1,53,46,1,0,-10.9,-2.1,76,53,41,19,72,519,11,33,
153,Terry Porter,37,SAS,PG,80,42,1678,81,19,0,0,0,12.3,5.9,83,17,31,2,40,539,9,21,
154,Chris Gatling,33,CLE,PF,74,6,1670,0,0,0,42,58,-6.3,-2.6,47,30,68,26,97,133,27,48,
155,Christian Laettner,31,2TM,C,78,48,1663,0,0,0,23,77,-2.4,-2.3,68,37,98,25,92,262,24,30,
155,Christian Laettner,31,DAL,C,53,35,930,0,0,0,11,89,0.4,-5.4,37,15,66,13,44,145,15,21,
155,Christian Laettner,31,WAS,PF,25,13,733,0,0,0,38,62,-5.9,1.7,31,22,32,12,48,117,9,9,
156,Stephen Jackson,22,NJN,SF,77,40,1660,0,8,84,8,0,-5.1,1.0,55,41,70,16,59,286,8,36,
157,Scot Pollard,25,SAC,C,77,8,1658,0,0,0,24,76,9.9,6.2,17,24,115,13,75,110,19,65,
158,Moochie Norris,27,HOU,PG,82,6,1654,99,1,0,0,0,3.5,1.7,55,21,20,8,71,657,13,18,
159,Bobby Jackson,27,SAC,PG,79,7,1648,97,3,0,0,0,8.2,3.3,47,33,51,8,34,339,10,32,6MOY-4
160,Anthony Carter,25,MIA,PG,72,6,1630,56,44,1,0,0,2.2,-0.6,74,26,62,14,28,594,6,19,
161,Jacque Vaughn,25,UTA,PG,82,0,1620,82,18,0,0,0,-5.0,-16.7,85,17,32,16,42,698,2,21,
162,Olden Polynice,36,UTA,C,81,79,1619,0,0,0,0,100,3.9,-1.9,23,18,81,17,25,68,0,23,
163,Matt Harpring,24,CLE,SG,56,55,1615,0,59,41,0,0,-5.5,-1.1,44,24,78,17,63,216,10,40,
164,Michael Smith,28,WAS,PF,79,29,1610,0,0,12,83,4,-11.2,-6.7,29,14,86,11,72,221,12,30,
165,Jahidi White,24,WAS,C,68,56,1609,0,0,0,0,100,-8.3,-1.8,23,47,94,30,136,43,35,64,
166,Toni KukoÄ,32,2TM,SF,65,19,1597,0,2,51,45,2,4.1,4.5,67,28,32,12,62,427,16,33,
166,Toni KukoÄ,32,PHI,SF,48,5,979,0,0,29,69,3,9.2,6.0,37,18,23,4,30,197,9,21,
166,Toni KukoÄ,32,ATL,SF,17,14,618,0,5,86,9,0,-4.0,2.2,30,10,9,8,32,230,7,12,
167,Robert Horry,30,LAL,PF,79,1,1587,0,0,13,86,1,1.8,-3.4,50,15,83,9,21,282,3,8,
168,Walt Williams,30,HOU,SF,72,31,1583,0,2,74,24,0,2.8,0.5,40,10,72,16,43,208,9,24,
169,Marcus Fizer,22,CHI,PF,72,13,1580,0,0,1,45,54,-13.8,-5.7,53,30,79,26,66,168,19,55,
170,Pat Garrity,24,ORL,SF,76,1,1579,0,0,34,65,1,-1.6,-4.3,20,18,109,18,40,116,11,22,
171,Felipe LÃ³pez,26,2TM,PG,70,48,1565,15,84,1,0,0,-5.6,-1.8,37,18,68,19,73,225,12,60,
171,Felipe LÃ³pez,26,WAS,SG,47,38,1108,9,89,1,0,0,-10.9,-5.1,23,12,47,14,57,157,9,46,
171,Felipe LÃ³pez,26,MIN,PG,23,10,457,28,71,0,0,0,7.0,6.2,14,6,21,5,16,68,3,14,
172,Tyrone Nesby,25,2TM,SG,62,34,1556,0,26,74,0,0,-6.6,0.1,26,18,63,14,45,163,8,28,
172,Tyrone Nesby,25,LAC,SG,14,12,333,1,90,9,0,0,-9.4,-6.6,2,5,13,1,11,22,3,7,
172,Tyrone Nesby,25,WAS,SF,48,22,1223,0,9,91,0,0,-5.9,2.0,24,13,50,13,34,141,5,21,
173,Sean Rooks,31,LAC,C,82,0,1553,0,0,0,13,87,1.4,7.8,45,12,127,6,49,170,7,15,
174,Hakeem Olajuwon,38,HOU,C,58,55,1545,0,0,0,0,100,2.0,-0.9,27,24,78,10,69,161,14,26,
