Year,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2015,0.4231014492753623,0.46040217391304344,0.28961231884057975,0.4746666666666667,0.7341268115942029,0.5092083333333334,0.25126811594202897,0.31455797101449273,94.2427536231884,94.86413043478261,82.7445652173913,95.71739130434783,97.85326086956522,95.33333333333333,91.92572463768116,117.27898550724638,-2.8735507246376812,-3.1894927536231887
2016,0.4338138613861386,0.4732217821782178,0.2973425742574257,0.48553861386138614,0.7520079207920792,0.5215485148514851,0.26792673267326733,0.30975841584158414,95.93861386138614,96.2950495049505,84.06732673267327,96.62574257425743,99.36633663366337,96.36237623762376,97.0039603960396,108.78415841584159,-2.8837623762376237,-2.882970297029703
2017,0.43924482109227875,0.4833785310734463,0.30435969868173257,0.49677212806026366,0.7473973634651601,0.5315536723163842,0.26057062146892657,0.33829566854990584,96.06214689265536,96.03954802259886,85.13370998116761,96.70809792843691,96.83239171374764,96.23540489642184,96.31073446327683,107.02824858757062,-1.1902071563088514,-1.294726930320151
2018,0.441,0.4928039215686275,0.31343493761140817,0.5009465240641712,0.752131907308378,0.5341960784313726,0.24762210338680926,0.35583778966131907,95.7843137254902,96.56149732620321,86.62032085561498,96.10516934046346,98.0427807486631,96.04991087344028,98.31907308377896,105.59536541889483,-1.6518716577540107,-1.5554367201426027
2019,0.43744674085850555,0.49603815580286165,0.31571701112877587,0.5034912559618442,0.7447853736089031,0.5355993640699523,0.24560095389507156,0.39353736089030206,94.99682034976152,95.46263910969793,88.9268680445151,96.04928457869634,97.14944356120827,95.72496025437202,94.94435612082671,109.6899841017488,-2.9058823529411764,-3.091573926868045
2020,0.44330964467005074,0.5078883248730964,0.31866666666666665,0.5110016920473773,0.7492148900169204,0.5439069373942471,0.25494923857868024,0.4060439932318105,96.3434856175973,96.94754653130288,89.01522842639594,96.62944162436548,96.9424703891709,96.32318104906938,97.98138747884941,105.72250423011845,-1.9108291032148899,-2.005414551607445
2021,0.44625193199381763,0.5098129829984543,0.31953477588871715,0.5153106646058733,0.7548778979907265,0.5473632148377126,0.25076506955177746,0.40417619783616693,95.71870170015455,96.17001545595055,87.16228748068006,95.80680061823803,97.0788253477589,95.72642967542504,101.61978361669243,103.17001545595055,-1.654095826893354,-1.594126738794436
2022,0.4417366071428571,0.5092380952380953,0.31622619047619044,0.5108601190476191,0.7573645833333333,0.5429226190476191,0.250953869047619,0.4126889880952381,95.79166666666667,95.60714285714286,89.4360119047619,96.0639880952381,97.76934523809524,95.9389880952381,101.1235119047619,103.34970238095238,-1.730059523809524,-1.5827380952380954
2023,0.46539743589743593,0.536610576923077,0.3333589743589743,0.5385624999999999,0.7585753205128205,0.5676826923076923,0.24625320512820514,0.41655769230769235,97.89423076923077,97.93429487179488,92.40705128205128,98.78525641025641,97.03525641025641,97.6698717948718,92.40705128205128,107.49839743589743,-1.0485576923076925,-1.1998397435897434
2024,0.4511055900621118,0.5257857142857143,0.3212158385093168,0.523167701863354,0.754860248447205,0.5529922360248447,0.23062111801242238,0.426610248447205,95.08540372670808,96.4363354037267,87.83540372670808,95.72670807453416,96.30590062111801,95.3524844720497,94.38819875776397,108.03260869565217,-2.1552795031055902,-2.3417701863354035
