Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
40.0,Jayson Tatum,19.0,BOS,SF,80.0,80.0,2443.0,0.475,0.492,0.434,0.538,0.826,0.586,0.309,0.29,103.0,96.0,120.0,103.0,108.0,105.0,123.0,86.0,28.6,57.0,ROY-3
41.0,Nikola JokiÄ,22.0,DEN,C,75.0,73.0,2443.0,0.499,0.538,0.396,0.554,0.85,0.603,0.31,0.277,108.0,106.0,110.0,106.0,111.0,108.0,123.0,82.0,66.2,108.4,
42.0,Otto Porter Jr.,24.0,WAS,SF,77.0,77.0,2432.0,0.503,0.537,0.441,0.581,0.828,0.602,0.145,0.354,109.0,105.0,122.0,111.0,108.0,108.0,57.0,105.0,105.5,87.0,
43.0,DeAndre Jordan,29.0,LAC,C,77.0,77.0,2424.0,0.645,0.645,,0.645,0.58,0.648,0.54,0.0,140.0,126.0,,124.0,76.0,117.0,214.0,0.0,143.5,131.4,
44.0,Marc Gasol,33.0,MEM,C,73.0,73.0,2408.0,0.42,0.456,0.341,0.473,0.834,0.532,0.326,0.31,91.0,89.0,94.0,91.0,109.0,96.0,130.0,92.0,-99.8,-55.9,
45.0,Kyle Kuzma,22.0,LAL,PF,77.0,37.0,2401.0,0.45,0.511,0.366,0.527,0.707,0.549,0.2,0.418,98.0,100.0,101.0,101.0,92.0,99.0,79.0,124.0,12.0,-15.5,"ROY-4,6MOY-9"
46.0,Goran DragiÄ,31.0,MIA,PG,75.0,75.0,2378.0,0.45,0.481,0.37,0.502,0.801,0.543,0.252,0.279,98.0,94.0,102.0,96.0,104.0,98.0,100.0,83.0,-41.5,-32.3,AS
47.0,Dillon Brooks,22.0,MEM,SF,82.0,74.0,2350.0,0.44,0.484,0.356,0.501,0.747,0.531,0.215,0.342,96.0,95.0,98.0,96.0,97.0,96.0,85.0,101.0,-30.7,-41.9,
48.0,Wilson Chandler,30.0,DEN,SF,74.0,71.0,2346.0,0.445,0.501,0.358,0.515,0.772,0.542,0.181,0.39,97.0,98.0,99.0,99.0,101.0,97.0,72.0,116.0,-7.7,-19.6,
49.0,Kevin Durant,29.0,GSW,SF,68.0,68.0,2325.0,0.516,0.565,0.419,0.586,0.889,0.64,0.331,0.338,112.0,111.0,116.0,113.0,116.0,115.0,131.0,100.0,159.2,235.1,"MVP-7,DPOY-9,AS,NBA1"
50.0,Eric Bledsoe,28.0,2TM,PG,74.0,74.0,2322.0,0.473,0.545,0.347,0.536,0.795,0.582,0.321,0.364,103.0,107.0,96.0,103.0,104.0,105.0,127.0,108.0,30.1,57.8,
50.0,Eric Bledsoe,28.0,PHO,PG,3.0,3.0,83.0,0.4,0.444,0.308,0.45,0.786,0.509,0.35,0.325,87.0,87.0,85.0,86.0,102.0,92.0,139.0,96.0,-5.7,-4.3,
50.0,Eric Bledsoe,28.0,MIL,PG,71.0,71.0,2239.0,0.476,0.55,0.349,0.54,0.795,0.585,0.319,0.366,103.0,108.0,96.0,104.0,104.0,105.0,127.0,109.0,35.8,62.1,
51.0,Jeff Teague,29.0,MIN,PG,70.0,70.0,2311.0,0.446,0.477,0.368,0.499,0.845,0.553,0.301,0.287,97.0,93.0,102.0,96.0,110.0,99.0,120.0,85.0,-35.6,-6.1,
52.0,Dario Å ariÄ,23.0,PHI,PF,78.0,73.0,2310.0,0.453,0.501,0.393,0.541,0.86,0.582,0.233,0.448,98.0,98.0,109.0,104.0,112.0,105.0,92.0,133.0,35.3,49.8,
53.0,Courtney Lee,32.0,NYK,SG,76.0,69.0,2310.0,0.454,0.482,0.406,0.529,0.919,0.564,0.164,0.368,99.0,94.0,112.0,102.0,120.0,101.0,65.0,109.0,12.0,12.5,
54.0,Spencer Dinwiddie,24.0,BRK,PG,80.0,58.0,2306.0,0.387,0.452,0.326,0.471,0.813,0.527,0.32,0.517,84.0,89.0,90.0,90.0,106.0,95.0,127.0,153.0,-84.5,-56.3,
55.0,Gary Harris,23.0,DEN,SG,67.0,65.0,2304.0,0.485,0.553,0.396,0.57,0.827,0.597,0.178,0.434,105.0,108.0,109.0,109.0,108.0,107.0,71.0,129.0,89.5,80.8,
56.0,Draymond Green,27.0,GSW,PF,70.0,70.0,2287.0,0.454,0.562,0.301,0.516,0.775,0.556,0.279,0.414,99.0,110.0,83.0,99.0,101.0,100.0,111.0,123.0,-6.2,-0.2,"DPOY-6,AS,DEF2"
57.0,Yogi Ferrell,24.0,DAL,SG,82.0,21.0,2282.0,0.426,0.477,0.373,0.518,0.796,0.54,0.141,0.492,93.0,93.0,103.0,99.0,104.0,97.0,56.0,146.0,-4.9,-24.4,
