Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
59.0,Nen̻,26.0,DEN,C,77.0,76.0,2510.0,6.1,10.2,0.604,0.0,0.1,0.2,6.1,10.1,0.607,0.604,3.8,5.3,0.723,2.6,6.0,8.6,1.5,1.4,1.4,2.1,4.0,16.1,
60.0,Mike Conley,21.0,MEM,PG,82.0,61.0,2508.0,4.6,10.5,0.442,1.3,3.1,0.406,3.4,7.4,0.458,0.503,2.3,2.8,0.817,0.4,3.6,4.0,5.1,1.3,0.1,2.1,2.1,12.8,
61.0,Deron Williams,24.0,UTA,PG,68.0,68.0,2505.0,6.7,14.1,0.471,1.0,3.2,0.31,5.6,10.9,0.518,0.506,4.7,5.5,0.849,0.3,2.5,2.8,10.4,1.0,0.3,3.3,1.9,19.0,
62.0,Brook Lopez,20.0,NJN,C,82.0,75.0,2501.0,6.4,12.1,0.531,0.0,0.0,0.0,6.4,12.1,0.532,0.531,2.5,3.1,0.793,3.2,6.3,9.6,1.2,0.6,2.2,2.1,3.7,15.4,ROY-3
63.0,Roger Mason,28.0,SAS,SG,82.0,71.0,2496.0,5.0,11.9,0.425,2.4,5.7,0.421,2.6,6.2,0.428,0.526,1.5,1.7,0.89,0.2,3.4,3.6,2.5,0.6,0.2,1.4,2.3,14.0,
64.0,Randy Foye,25.0,MIN,SG,70.0,61.0,2494.0,5.8,14.2,0.407,1.6,4.4,0.36,4.2,9.7,0.428,0.463,3.3,3.9,0.846,0.5,2.6,3.1,4.4,1.0,0.4,2.2,2.9,16.4,
65.0,Devin Harris,25.0,NJN,PG,69.0,69.0,2494.0,6.6,15.0,0.438,0.9,3.2,0.291,5.6,11.8,0.477,0.469,7.2,8.7,0.82,0.4,2.9,3.3,6.9,1.6,0.2,3.1,2.4,21.2,AS
66.0,Jason Terry,31.0,DAL,SG,74.0,11.0,2491.0,7.8,16.9,0.463,2.4,6.6,0.366,5.4,10.3,0.525,0.535,2.9,3.3,0.88,0.6,2.0,2.6,3.6,1.4,0.3,1.7,2.0,20.9,6MOY-1
67.0,Luis Scola,28.0,HOU,PF,82.0,82.0,2488.0,6.1,11.6,0.531,0.0,0.0,0.0,6.1,11.5,0.533,0.531,2.8,3.7,0.76,2.9,7.5,10.4,1.8,1.0,0.2,1.8,3.8,15.1,
68.0,Steve Nash,34.0,PHO,PG,74.0,74.0,2484.0,6.2,12.3,0.503,1.6,3.6,0.439,4.6,8.8,0.529,0.566,2.8,3.0,0.933,0.3,3.0,3.2,10.4,0.8,0.1,3.6,1.6,16.8,
69.0,Troy Murphy,28.0,IND,PF,73.0,73.0,2482.0,5.3,11.1,0.475,2.3,5.2,0.45,2.9,5.9,0.496,0.58,2.2,2.7,0.826,2.1,10.4,12.5,2.5,0.8,0.5,1.7,3.3,15.1,
70.0,Jamal Crawford,28.0,2TM,PG,65.0,65.0,2479.0,6.1,14.8,0.41,2.1,5.7,0.36,4.0,9.1,0.441,0.479,4.4,5.0,0.872,0.3,2.5,2.8,4.2,0.8,0.2,2.1,1.3,18.6,
70.0,Jamal Crawford,28.0,NYK,SG,11.0,11.0,392.0,6.7,15.5,0.432,3.2,7.1,0.455,3.5,8.4,0.413,0.536,3.2,4.2,0.761,0.2,1.4,1.6,4.4,0.8,0.0,2.4,1.2,19.8,
