Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
355.0,Dan Dickau,25.0,POR,PG,20.0,0.0,151.0,5.9,18.1,0.327,2.6,7.4,0.35,3.3,10.7,0.31,0.398,2.6,2.9,0.875,1.1,2.6,3.7,7.4,2.9,0.0,4.8,8.1,17.0,88.0,107.0,
356.0,Britton Johnsen,24.0,ORL,C,20.0,4.0,290.0,3.1,10.7,0.288,0.2,2.2,0.083,2.9,8.6,0.34,0.297,1.3,2.9,0.438,2.7,5.5,8.2,2.2,1.3,0.2,2.6,5.1,7.7,71.0,112.0,
357.0,DerMarr Johnson,23.0,NYK,SF,21.0,1.0,287.0,6.7,18.1,0.371,2.4,6.7,0.361,4.3,11.4,0.377,0.438,5.2,5.8,0.903,0.9,6.4,7.3,2.1,1.5,1.3,3.0,6.0,21.1,99.0,104.0,
358.0,Å½eljko RebraÄa,31.0,2TM,C,24.0,2.0,273.0,6.8,15.3,0.442,0.0,0.0,,6.8,15.3,0.442,0.442,4.6,6.0,0.767,4.6,7.0,11.5,1.2,1.0,2.2,3.4,10.3,18.1,98.0,98.0,
358.0,Å½eljko RebraÄa,31.0,DET,C,21.0,2.0,222.0,5.4,13.3,0.407,0.0,0.0,,5.4,13.3,0.407,0.407,5.4,6.9,0.786,4.7,7.4,12.1,1.0,1.2,2.2,3.2,11.1,16.2,99.0,96.0,
358.0,Å½eljko RebraÄa,31.0,ATL,C,3.0,0.0,51.0,12.4,23.8,0.522,0.0,0.0,,12.4,23.8,0.522,0.522,1.0,2.1,0.5,4.1,5.2,9.3,2.1,0.0,2.1,4.1,7.3,25.9,96.0,110.0,
359.0,Jonathan Bender,23.0,IND,SF,21.0,0.0,271.0,10.1,21.5,0.472,1.8,4.5,0.409,8.3,17.0,0.488,0.514,7.9,9.5,0.83,1.8,6.3,8.1,1.8,1.0,2.2,6.7,4.7,30.0,96.0,99.0,
360.0,Marcus Haislip,23.0,MIL,PF,31.0,0.0,263.0,7.2,14.7,0.486,0.2,0.4,0.5,7.0,14.3,0.486,0.493,4.0,5.6,0.714,4.2,6.4,10.6,0.8,1.2,2.4,1.8,5.0,18.5,110.0,105.0,
361.0,Glen Rice,36.0,LAC,SF,18.0,0.0,262.0,4.4,15.3,0.289,1.0,5.6,0.179,3.4,9.7,0.354,0.322,3.4,3.4,1.0,1.8,6.4,8.3,4.8,1.2,0.0,2.6,4.4,13.3,90.0,110.0,
362.0,Tremaine Fowlkes,27.0,DET,SF,36.0,0.0,261.0,3.1,10.0,0.313,0.2,1.7,0.125,2.9,8.4,0.35,0.323,2.7,3.8,0.722,3.8,7.3,11.1,2.9,1.9,0.6,2.5,7.7,9.2,88.0,96.0,
363.0,Curtis Borchardt,23.0,UTA,C,16.0,0.0,258.0,4.7,12.0,0.393,0.0,0.2,0.0,4.7,11.8,0.4,0.393,3.0,3.9,0.778,2.8,8.8,11.6,3.2,0.9,3.0,3.9,8.6,12.5,88.0,102.0,
